Gasday,MarginalPriceSystemBuy,MarginalPriceSystemSell,NegativeEnergyImbalancePrice,PositiveEnergyImbalancePrice,Unit,VTPDailyAveragePrice,VTPDailyAveragePriceSmallAdjMinus,VTPDailyAveragePriceSmallAdjPlus
2022-01-01,,,74.2070,71.2970,EUR/MWh,72.7520,71.296960,74.207040
2022-01-02,57.4000,,73.1460,70.2780,EUR/MWh,71.7120,70.277760,73.146240
2022-01-03,86.2538,,86.2540,71.8100,EUR/MWh,73.2750,71.809500,74.740500
2022-01-04,98.5000,,98.5000,72.7590,EUR/MWh,74.2440,72.759120,75.728880
2022-01-05,96.8000,,96.8000,89.8610,EUR/MWh,91.6950,89.861100,93.528900
2022-01-06,99.7000,,99.7000,91.3660,EUR/MWh,93.2310,91.366380,95.095620
2022-01-07,103.8250,,103.8250,93.1730,EUR/MWh,95.0740,93.172520,96.975480
2022-01-08,89.9250,,92.4720,88.8460,EUR/MWh,90.6590,88.845820,92.472180
2022-01-09,,82.4000,91.9730,82.4000,EUR/MWh,90.1700,88.366600,91.973400
2022-01-10,93.4000,,93.4000,88.9380,EUR/MWh,90.7530,88.937940,92.568060
2022-01-11,82.5000,,89.8590,86.3350,EUR/MWh,88.0970,86.335060,89.858940
2022-01-12,83.5000,,84.1700,80.8700,EUR/MWh,82.5200,80.869600,84.170400
2022-01-13,,,80.6550,77.4930,EUR/MWh,79.0740,77.492520,80.655480
2022-01-14,91.3500,,91.3500,78.1290,EUR/MWh,79.7230,78.128540,81.317460
2022-01-15,90.7500,,91.4930,87.9050,EUR/MWh,89.6990,87.905020,91.492980
2022-01-16,,,91.5950,88.0030,EUR/MWh,89.7990,88.003020,91.594980
2022-01-17,95.2000,,95.2000,87.9120,EUR/MWh,89.7060,87.911880,91.500120
2022-01-18,83.8000,79.5000,83.8000,79.0710,EUR/MWh,80.6850,79.071300,82.298700
2022-01-19,74.6000,,79.6380,76.5140,EUR/MWh,78.0760,76.514480,79.637520
2022-01-20,,71.8250,76.1780,71.8250,EUR/MWh,74.6840,73.190320,76.177680
2022-01-21,83.4000,,83.4000,73.3210,EUR/MWh,74.8170,73.320660,76.313340
2022-01-22,,78.0000,80.8080,77.6400,EUR/MWh,79.2240,77.639520,80.808480
2022-01-23,,80.5000,80.9650,77.7890,EUR/MWh,79.3770,77.789460,80.964540
2022-01-24,85.5000,,85.5000,78.8650,EUR/MWh,80.4740,78.864520,82.083480
2022-01-25,95.0000,87.3000,95.0000,87.3000,EUR/MWh,91.8620,90.024760,93.699240
2022-01-26,96.0000,87.4000,96.0000,87.4000,EUR/MWh,93.2200,91.355600,95.084400
2022-01-27,,87.1000,93.7040,87.1000,EUR/MWh,91.8670,90.029660,93.704340
2022-01-28,95.9500,89.5500,95.9500,89.5500,EUR/MWh,92.4890,90.639220,94.338780
2022-01-29,,,94.5120,90.8060,EUR/MWh,92.6590,90.805820,94.512180
2022-01-30,95.2000,,95.2000,90.8590,EUR/MWh,92.7130,90.858740,94.567260
2022-01-31,89.7500,,94.3100,90.6120,EUR/MWh,92.4610,90.611780,94.310220
2022-02-01,90.0000,,90.0000,84.1040,EUR/MWh,85.8200,84.103600,87.536400
2022-02-02,,77.0000,78.0780,75.0160,EUR/MWh,76.5470,75.016060,78.077940
2022-02-03,,75.5000,79.4070,75.5000,EUR/MWh,77.8500,76.293000,79.407000
2022-02-04,82.1250,,82.1250,77.1790,EUR/MWh,78.7540,77.178920,80.329080
2022-02-05,86.0000,,86.0000,80.4110,EUR/MWh,82.0520,80.410960,83.693040
2022-02-06,83.4000,,83.5710,80.2930,EUR/MWh,81.9320,80.293360,83.570640
2022-02-07,83.2000,,83.4970,80.2230,EUR/MWh,81.8600,80.222800,83.497200
2022-02-08,82.6000,73.6000,82.6000,73.6000,EUR/MWh,78.7270,77.152460,80.301540
2022-02-09,,74.5000,80.7190,74.5000,EUR/MWh,79.1360,77.553280,80.718720
2022-02-10,77.5000,,77.5000,74.3850,EUR/MWh,75.9030,74.384940,77.421060
2022-02-11,80.1000,69.7500,80.1000,69.7500,EUR/MWh,74.4660,72.976680,75.955320
2022-02-12,80.9000,,80.9000,74.5410,EUR/MWh,76.0620,74.540760,77.583240
2022-02-13,81.2000,,81.2000,74.7640,EUR/MWh,76.2900,74.764200,77.815800
2022-02-14,,77.0000,78.2820,75.2120,EUR/MWh,76.7470,75.212060,78.281940
2022-02-15,,68.1000,82.1810,68.1000,EUR/MWh,80.5700,78.958600,82.181400
2022-02-16,70.4000,66.8000,73.7870,66.8000,EUR/MWh,72.3400,70.893200,73.786800
2022-02-17,74.6500,,74.6500,68.3400,EUR/MWh,69.7350,68.340300,71.129700
2022-02-18,76.2000,,76.2000,71.6130,EUR/MWh,73.0740,71.612520,74.535480
2022-02-19,96.2500,,96.2500,72.8020,EUR/MWh,74.2880,72.802240,75.773760
2022-02-20,81.0000,,81.0000,71.9830,EUR/MWh,73.4520,71.982960,74.921040
2022-02-21,77.3000,,77.3000,71.9570,EUR/MWh,73.4250,71.956500,74.893500
2022-02-22,89.7500,,89.7500,73.3310,EUR/MWh,74.8280,73.331440,76.324560
2022-02-23,83.5250,86.8000,83.5250,78.7430,EUR/MWh,80.3500,78.743000,81.957000
2022-02-24,,129.0000,91.5290,87.9390,EUR/MWh,89.7340,87.939320,91.528680
2022-02-25,123.6909,,124.1230,119.2550,EUR/MWh,121.6890,119.255220,124.122780
2022-02-26,116.5000,,116.5000,96.0890,EUR/MWh,98.0500,96.089000,100.011000
2022-02-27,109.0000,,109.0000,96.3190,EUR/MWh,98.2850,96.319300,100.250700
2022-02-28,116.0000,,116.0000,98.7060,EUR/MWh,100.7200,98.705600,102.734400
2022-03-01,128.0000,94.0000,128.0000,94.0000,EUR/MWh,105.8830,103.765340,108.000660
2022-03-02,153.0000,,153.0000,119.4740,EUR/MWh,121.9120,119.473760,124.350240
2022-03-03,197.0000,,197.0000,164.0280,EUR/MWh,167.3760,164.028480,170.723520
2022-03-04,169.0000,,169.0000,162.2870,EUR/MWh,165.5990,162.287020,168.910980
2022-03-05,203.2500,,203.2500,185.2160,EUR/MWh,188.9960,185.216080,192.775920
2022-03-06,,188.5000,192.8730,185.3090,EUR/MWh,189.0910,185.309180,192.872820
